Clinical Trial,# of related articles
Finding Diabetes Mellitus Among Veterans,47
"Diabetes, Lipoproteins and Accelerated Vascular Disease",47
Genetic Studies of Insulin and Diabetes,47
Prospective Controlled Study of Posttransplant Diabetes,47
Diabetes and Heart Disease Risk in Blacks,47
Diabetes Prevention Program,47
"NEW DAY: Nutrition, Exercise, Weight Loss, Diabetes And You",47
Lifestyle Interventions to Reduce Diabetes Risk,47
Family-Centered Diabetes Project,47
Solitary Islet Transplantation for Type 1 Diabetes Mellitus Using Steroid Sparing Immunosuppression,47
African-American Diabetes Intervention Project,47
Native Hawaiian Diabetes Intervention Program,47
Action to Control Cardiovascular Risk in Diabetes (ACCORD),47
Computer-assisted Diabetes Self-management Interventions,47
The Diabetes Prevention Trial of Type 1 Diabetes (DPT-1),47
"Health Effects of Liposuction in Overweight Women With Elevated Insulin Levels, Impaired Glucose Tolerance and/or Type 2 Diabetes",47
Study of the Effects of Vitamin C on Patients With Type 2 Diabetes,47
"Ingested Interferon Alpha: Prolongation or Permanence of the ""Honeymoon"" Phase in Newly Diagnosed Type 1 Diabetes Mellitus",47
Acute Glycemic Effects of a Very Low Fat Diet in Type 2 Diabetes,47
Drugs for High Blood Pressure and High Cholesterol in American Indians With Type 2 Diabetes,47
Achilles Tendon Lengthening in Patients With Diabetes to Prevent Foot Ulcers,47
Study of the Pathogenesis and Pathophysiology of Familial Neurohypophyseal Diabetes Insipidus,47
Genetic Influence on Susceptibility to Type 1 Diabetes Mellitus,47
